post_run_priority,post_run_category,recommended_action,confidence,score,model,rank,static_bucket,static_risk_score,env_id,completed_sessions,task_ref,task_key,task_match_status,session_id,evidence_summary,handoff_call,static_findings,source_type,source
1,PASS_CLEAN,Promote or keep in the near-promote queue after normal spot-check.,high,1.00,claude-opus-4.8,2,A_likely_good_spot_check,1.35,psi-consumer-finance,1,task_itcgbzweb4f...,task_itcgbzweb4f_n_1781578835917_xls53dne2__ayush_20260624__worktrial_taskloss_20260707,prefix,a363ac79-ab15-47fd-a1d0-6e6457006055,"Passed. Verifier confirmed exactly 2 transfers totaling 5,358.75, exactly 4 transaction records, correct debits/credits, and expect_only_v2 with no unexpected changes.",Promote after light spot-check.,FINANCE_SIDE_EFFECT_REVIEW,trace_evidence_markdown,trace_evidence.md
2,PASS_CLEAN,Promote or keep in the near-promote queue after normal spot-check.,high,1.00,gpt-5.5,6,A_likely_good_spot_check,3.1,psi-personal-health,5,task_a3usg9top92...,task_a3usg9top92_n_1781728721593_j33115ch8__ayush_20260624__worktrial_taskloss_20260707,prefix,9d254060-5d27-4861-9df7-b13fa9ea0843,"Passed. Verifier confirmed refill request, Yellow Fever Vaccine appointment on 2025-10-17 at 11:00, $62.47 payment, travel-window cancellations, refund, and calendar event with no unexpected durable changes.",Promote candidate.,VERIFIER_ONLY_AMOUNTS|HEALTH_PRIVACY_REVIEW,trace_evidence_markdown,trace_evidence.md
3,PASS_CLEAN,Promote or keep in the near-promote queue after normal spot-check.,high,1.00,claude-opus-4.8,10,A_likely_good_spot_check,3.6,psi-personal-health,3,task_ru0dyrkku4o4...,task_ru0dyrkku4o4_n_1781555298195_4ox33xy0p__ayush_20260624__worktrial_taskloss_20260707,prefix,82579f1a-7244-4850-b894-fbd92946538e,"Passed. Trace final output confirms an in-person new-patient dental visit for Oct 21 at 8:00 AM, completed check-in, creation of Medical calendar, and movement of the appointment event to that calendar.",Promote candidate after seed sanity check.,RELATIVE_DATE_ANCHORS|HEALTH_PRIVACY_REVIEW,trace_evidence_markdown,trace_evidence.md
4,PASS_CLEAN,Promote or keep in the near-promote queue after normal spot-check.,high,1.00,claude-opus-4.8,20,B_close_verify_derivability,4.15,psi-personal-health,3,task_wlwpehpccpnu...,task_wlwpehpccpnu_n_1781715575853_4xei7toyy__ayush_20260624__worktrial_taskloss_20260707,prefix,2e1cbb62-7215-46b3-9e86-fd645b149049,"Passed. Verifier confirmed correct patient, new Appointment with Dr. Wu calendar event, sent Rescheduled email to Priya Shah, 2:00 time reference, and no unexpected changes.",Promote candidate.,HEALTH_PRIVACY_REVIEW,trace_evidence_markdown,trace_evidence.md
5,PASS_CLEAN,Promote or keep in the near-promote queue after normal spot-check.,high,1.00,claude-opus-4.8,22,B_close_verify_derivability,4.25,psi-consumer-finance,1,task_iyzvzskxeh1...,task_iyzvzskxeh1_n_1781355205206_8alcjhsat__ayush_20260624__worktrial_taskloss_20260707,prefix,2d913ac1-3331-435a-bec6-122fff809732,"Passed. Verifier confirmed Delta Air Lines amount $685.69, Harbor transfer of 68,569 cents, scheduled date 2025-10-21, transaction debit, account balance, and pending debit changes.",Promote candidate after confirming derivability of the Delta amount.,FINANCE_SIDE_EFFECT_REVIEW,trace_evidence_markdown,trace_evidence.md
6,PASS_CLEAN,Promote or keep in the near-promote queue after normal spot-check.,high,1.00,claude-opus-4.8,119,C_repair_candidate,7.2,psi-consumer-finance,1,task_gyabeyvmumof...,task_gyabeyvmumof_n_1781616252813_e8051ohfx__ayush_20260624__worktrial_taskloss_20260707,prefix,d9d35679-1997-413b-8c45-e1e56c61d5cb,"Passed. Trace confirms Meridian dispute/refund was reconciled, Refund Confirmed Oct tag applied, and email sent with $224.69 filled into the required placeholders.",Promote candidate; static C score was conservative.,MANY_CROSS_SYSTEM_DEPENDENCIES|LONG_PROMPT|FINANCE_SIDE_EFFECT_REVIEW,trace_evidence_markdown,trace_evidence.md
7,PASS_BUT_STATIC_RISK,Promote only after one extra human spot-check because static risk was high.,high,1.00,claude-opus-4.8,221,D_high_risk_manual_review,10.5,psi-personal-health,3,task_ivnptdiryl3z...,task_ivnptdiryl3z_n_1781663573660_22n9ikfo2__ayush_20260624__worktrial_taskloss_20260707,prefix,d1b4574b-9112-4124-af54-dc19ce468370,"Passed despite high static risk. Verifier confirmed payments for Omar and Maya, no payment for Jordan/Lena where appropriate, refund-confirmation message details, correct pool assignment, and expect_only_v2.",Promote only after one more spot-check; static risk was conservative here.,RELATIVE_DATE_ANCHORS|MANY_CROSS_SYSTEM_DEPENDENCIES|PROMPT_APP_NOT_VERIFIED|VERIFIER_ONLY_AMOUNTS|LONG_PROMPT|HEALTH_PRIVACY_REVIEW|FINANCE_SIDE_EFFECT_REVIEW,trace_evidence_markdown,trace_evidence.md
8,NARROW_VERIFIER_FAILURE,"Repair the specific verifier/state mismatch, then rerun.",high,0.00,gpt-5.5,5,A_likely_good_spot_check,2.85,psi-consumer-finance,3,task_i6zm3orie1xt...,task_i6zm3orie1xt_n_1781541765635_vqk7rqgds__ayush_20260624__worktrial_taskloss_20260707,prefix,b409d15c-3951-49ba-8c75-e76aa5d4b558,"Failed narrowly. Verifier found the todo was still incomplete, vendor notes did not match the expected cancellation state, and exactly 2 expected sent emails were missing.",Repair task workflow around final todo/email completion.,FINANCE_SIDE_EFFECT_REVIEW,trace_evidence_markdown,trace_evidence.md
9,NARROW_VERIFIER_FAILURE,"Repair the specific verifier/state mismatch, then rerun.",high,0.00,gpt-5.5,9,A_likely_good_spot_check,3.6,psi-consumer-finance,3,task_hscavs4v3fgy...,task_hscavs4v3fgy_n_1781202617540_mqbfz8zmb__ayush_20260624__worktrial_taskloss_20260707,prefix,9e906006-40fd-426b-91cc-e26482adfd7d,"Failed on a concrete state mismatch: invoice and payment-email work mostly existed, but invoice 122 was still draft when verifier expected sent; database diff flagged the unexpected invoice status.",Repair/send-state issue; likely recoverable.,VERIFIER_ONLY_AMOUNTS|FINANCE_SIDE_EFFECT_REVIEW,trace_evidence_markdown,trace_evidence.md
10,NARROW_VERIFIER_FAILURE,"Repair the specific verifier/state mismatch, then rerun.",high,0.00,claude-opus-4.8,111,C_repair_candidate,7.05,psi-consumer-finance,2,task_xjpsgv3t5xg...,task_xjpsgv3t5xg_n_1781265640584_5jhb24min__ayush_20260624__worktrial_taskloss_20260707,prefix,f6e64c52-f8d2-4eaa-9da1-5cec87d08d6f,"Mostly correct work with a diff failure. Verifier confirmed product/service setup, updated hourly rate, sent invoice, correct email, and calendar events, but failed on an unexpected extra messages insertion.",Repair verifier/message side-effect boundary.,RELATIVE_DATE_ANCHORS|MANY_CROSS_SYSTEM_DEPENDENCIES|VERIFIER_ONLY_AMOUNTS|VERIFIER_ONLY_USER_VALUES|FINANCE_SIDE_EFFECT_REVIEW,trace_evidence_markdown,trace_evidence.md
11,NARROW_VERIFIER_FAILURE,"Repair the specific verifier/state mismatch, then rerun.",high,0.00,claude-opus-4.8,117,C_repair_candidate,7.2,psi-consumer-finance,2,task_iq4wtbrqg3i...,task_iq4wtbrqg3i_n_1781369150448_d76ve0uwc__ayush_20260624__worktrial_taskloss_20260707,prefix,49fd1cf0-0852-4e13-a0e8-04575d29013a,"Concrete transfer mismatch. Some bank/accounting work passed, but verifier reported missing expected transaction records and wrong account balances/transfer amounts versus expected 266,439-cent movement.",Repair money derivation and transfer target logic.,MANY_CROSS_SYSTEM_DEPENDENCIES|VERIFIER_ONLY_AMOUNTS|FINANCE_SIDE_EFFECT_REVIEW,trace_evidence_markdown,trace_evidence.md
12,NARROW_VERIFIER_FAILURE,"Repair the specific verifier/state mismatch, then rerun.",high,0.00,gpt-5.5,168,C_repair_candidate,8.3,psi-consumer-finance,3,task_dlmkv6otfy07...,task_dlmkv6otfy07_n_1781138793510_cvrqys0hh__ayush_20260624__worktrial_taskloss_20260707,prefix,ac65a76b-fe0e-4ca8-ac08-026848c73cc6,"High-value repair candidate. Verifier confirmed late-charge invoices and three follow-up emails with correct subjects/body/references, but final failure was specific: expected exactly 4 new transaction lines, found 0.",Repair buffer-transfer/accounting-line side effect.,RELATIVE_DATE_ANCHORS|MANY_CROSS_SYSTEM_DEPENDENCIES|VERIFIER_ONLY_AMOUNTS|VERIFIER_ONLY_USER_VALUES|FINANCE_SIDE_EFFECT_REVIEW,trace_evidence_markdown,trace_evidence.md
13,PARTIAL_COMPLETION,Repair missing final side effects or rerun with focused review.,high,0.00,gpt-5.5,18,B_close_verify_derivability,4.05,psi-consumer-finance,3,task_zidagf17yxuq...,task_zidagf17yxuq_n_1781294888177_lqtg1ka30__ayush_20260624__worktrial_taskloss_20260707,prefix,e34d7c81-cc3d-49d1-a022-8c93d6d4018a,"Partial success. Verifier found the new invoice, payment link, correct $3,400 amount, customer email, and description, but invoice status was draft instead of sent, and the expected Integration Meeting calendar event/email were missing.",Repair final send/calendar steps.,MANY_CROSS_SYSTEM_DEPENDENCIES|FINANCE_SIDE_EFFECT_REVIEW,trace_evidence_markdown,trace_evidence.md
14,PARTIAL_COMPLETION,Repair missing final side effects or rerun with focused review.,high,0.00,gpt-5.5,23,B_close_verify_derivability,4.35,psi-consumer-finance,3,task_ih05dzesrzu...,task_ih05dzesrzu_n_1781644552459_q0vpp6pu5__ayush_20260624__worktrial_taskloss_20260707,prefix,31f7f93f-c9cb-43bc-bac6-917f056be6f7,"Mixed result. Verifier confirmed the Latch reply was sent to Leander Little League with correct subject/body, but found no new Zelle contact, no Zelle payment, no Zelle transaction record, unchanged balances, and no sponsors dinner calendar event.",Repair payment/calendar side effects.,VERIFIER_ONLY_AMOUNTS|VERIFIER_ONLY_USER_VALUES|FINANCE_SIDE_EFFECT_REVIEW,trace_evidence_markdown,trace_evidence.md
15,PARTIAL_COMPLETION,Repair missing final side effects or rerun with focused review.,high,0.00,claude-opus-4.8,56,B_close_verify_derivability,5.35,psi-consumer-finance,1,task_nw14kiriuj0w...,task_nw14kiriuj0w_n_1781131770786_owoqtdvge__ayush_20260624__worktrial_taskloss_20260707,prefix,c8941e2e-54ea-45dc-a15a-189916959744,"Partial success. Ledger expense was correct: Party Depot, 2025-10-14, $35.67, bank_transfer, Party Supplies, Training and Education, EXP-0527. Verifier failed because Zelle contact/payment/transaction and Priya Shah sent reply were missing.",Good close/repair example; do not promote until cross-app completion is reliable.,RELATIVE_DATE_ANCHORS|VERIFIER_ONLY_USER_VALUES|FINANCE_SIDE_EFFECT_REVIEW,trace_evidence_markdown,trace_evidence.md
16,ENVIRONMENT_OR_NAVIGATION_FAILURE,Separate environment/tooling issue from task quality before rejecting.,high,0.00,claude-opus-4.8,115,C_repair_candidate,7.15,psi-personal-health,3,task_xcpzxskowvyw...,task_xcpzxskowvyw_n_1781529489361_mtcd6k584__ayush_20260624__worktrial_taskloss_20260707,prefix,e38e10e0-c886-482a-94a4-5d629214eb73,Environment/flow blockage. Trace says the agent completed the other pieces but could not complete an Epic/Lifeline message subtask after repeated navigation/tool failures.,Manual review: distinguish environment issue from task quality issue.,MANY_CROSS_SYSTEM_DEPENDENCIES|MANY_LOOKUPS|VERIFIER_ONLY_USER_VALUES|HEALTH_PRIVACY_REVIEW,trace_evidence_markdown,trace_evidence.md
17,ENVIRONMENT_OR_NAVIGATION_FAILURE,Separate environment/tooling issue from task quality before rejecting.,high,0.00,claude-opus-4.8,227,D_high_risk_manual_review,10.8,psi-consumer-finance,3,task_qehlqyjkuoqy...,task_qehlqyjkuoqy_n_1781640416463_7t94nlq5c__ayush_20260624__worktrial_taskloss_20260707,prefix,235e41ca-2974-4bed-869d-600a3f790b61,"Partial completion with environment/UI failure. Trace says amounts matched and a $402.48 Harbor transfer plus Meridian support email were completed, but deleting the National Car Rental Ledger transaction did not register despite attempts.",Repair deletion flow/verifier expectation before promotion.,RELATIVE_DATE_ANCHORS|MANY_CROSS_SYSTEM_DEPENDENCIES|HIGH_BRANCHING|MANY_LOOKUPS|VERIFIER_ONLY_AMOUNTS|FINANCE_SIDE_EFFECT_REVIEW,trace_evidence_markdown,trace_evidence.md
18,TASK_OR_SEED_AMBIGUITY,Manual prompt/seed review first; clarify the intended unique answer.,high,0.00,claude-opus-4.8,222,D_high_risk_manual_review,10.5,psi-personal-health,3,task_us4sqtokm...,task_us4sqtokm_n_1781710895603_wujeck8m9__ayush_20260624__worktrial_taskloss_20260707,prefix,c9e33e4d-75cd-4ada-8aa8-ab4b0f17ec2c,"Trace exposes task ambiguity. The agent reasoned that no single doctor satisfied all stated constraints: Henry Ford affiliation, Portuguese language, Arizona tiebreaker, and visit type. It chose Dr. Joseph Martin after unresolved conflict.",Manual review first; likely prompt/seed inconsistency.,MANY_CROSS_SYSTEM_DEPENDENCIES|HIGH_BRANCHING|VERIFIER_ONLY_USER_VALUES|HEALTH_PRIVACY_REVIEW|FINANCE_SIDE_EFFECT_REVIEW,trace_evidence_markdown,trace_evidence.md
19,BROAD_SIDE_EFFECT_FAILURE,Keep in manual review or major repair; too many durable effects failed.,high,0.00,gpt-5.5,223,D_high_risk_manual_review,10.55,psi-consumer-finance,3,task_yqupdaywlvqb...,task_yqupdaywlvqb_n_1781306014106_ejs854ja4__ayush_20260624__worktrial_taskloss_20260707,prefix,6453589b-881a-45ad-bf8f-297ad28844a5,"Broad multi-system failure. Some Medical Out of Pocket and Meridian tag checks passed, but verifier found no expected transfer, no transaction records, wrong account balances, missing Deductible-2025 tag, no sent reimbursement email, and no claim-status calendar event.",Keep in manual review / major repair.,RELATIVE_DATE_ANCHORS|MANY_CROSS_SYSTEM_DEPENDENCIES|PROMPT_APP_NOT_VERIFIED|VERIFIER_ONLY_AMOUNTS|HEALTH_PRIVACY_REVIEW|FINANCE_SIDE_EFFECT_REVIEW,trace_evidence_markdown,trace_evidence.md
20,BROAD_SIDE_EFFECT_FAILURE,Keep in manual review or major repair; too many durable effects failed.,high,0.00,gpt-5.5,226,D_high_risk_manual_review,10.8,psi-consumer-finance,3,task_itxsazhocgr...,task_itxsazhocgr_n_1781289458817_snuiks36m__ayush_20260624__worktrial_taskloss_20260707,prefix,2ff37fe0-e033-4a5d-b6a0-7458270c1115,"Broad finance side-effect failure. Verifier found missing Zelle transaction, missing savings transfer, missing credit-card payment/payment transaction, unchanged card balance/minimum payment/available credit, missing discount email, and missing savings-transfer todo.",Manual-review first; too many side effects failed.,RELATIVE_DATE_ANCHORS|MANY_CROSS_SYSTEM_DEPENDENCIES|HIGH_BRANCHING|VERIFIER_ONLY_AMOUNTS|FINANCE_SIDE_EFFECT_REVIEW,trace_evidence_markdown,trace_evidence.md
